Stichtag;ID;Kreis;männlich;weiblich;Insgesamt
31.12.2019;05562;Recklinghausen, Landkreis;299253;314884;614137
31.12.2019;05566;Steinfurt, Landkreis;222878;225342;448220
31.12.2019;05570;Warendorf, Landkreis;137208;140632;277840
31.12.2019;05711;Bielefeld, kreisfreie Stadt;161093;173102;334195
31.12.2019;05754;Gütersloh, Landkreis;182215;182723;364938
31.12.2019;05758;Herford, Landkreis;123033;127545;250578
31.12.2019;05762;Höxter, Landkreis;69864;70387;140251
31.12.2019;05766;Lippe, Landkreis;170528;176986;347514
31.12.2019;05770;Minden-Lübbecke, Landkreis;153244;157165;310409
31.12.2019;05774;Paderborn, Landkreis;154132;153707;307839
31.12.2019;05911;Bochum, kreisfreie Stadt;178131;187456;365587
31.12.2019;05913;Dortmund, kreisfreie Stadt;289339;298911;588250
31.12.2019;05914;Hagen, kreisfreie Stadt;92214;96472;188686
31.12.2019;05915;Hamm, kreisfreie Stadt;88554;91362;179916
31.12.2019;05916;Herne, kreisfreie Stadt;76795;79654;156449
31.12.2019;05954;Ennepe-Ruhr-Kreis;157395;166711;324106
31.12.2019;05958;Hochsauerlandkreis;129719;130058;259777
31.12.2019;05962;Märkischer Kreis;201975;208247;410222
31.12.2019;05966;Olpe, Landkreis;67146;66809;133955
31.12.2019;05970;Siegen-Wittgenstein, Landkreis;137591;139353;276944
31.12.2019;05974;Soest, Landkreis;149882;151903;301785
31.12.2019;05978;Unna, Landkreis;192351;202540;394891
31.12.2019;06411;Darmstadt, kreisfreie Stadt;81439;78439;159878
31.12.2019;06412;Frankfurt am Main, kreisfreie Stadt;376802;386578;763380
31.12.2019;06413;Offenbach am Main, kreisfreie Stadt;64603;65677;130280
31.12.2019;06414;Wiesbaden, kreisfreie Stadt;133104;145370;278474
31.12.2019;06431;Bergstraße, Landkreis;133608;136732;270340
31.12.2019;06432;Darmstadt-Dieburg, Landkreis;148046;149798;297844
31.12.2019;06433;Groß-Gerau, Landkreis;138083;137643;275726
31.12.2019;06434;Hochtaunuskreis;115143;121771;236914
31.12.2019;06435;Main-Kinzig-Kreis;207433;213119;420552
31.12.2019;06436;Main-Taunus-Kreis;116820;121738;238558
31.12.2019;06437;Odenwaldkreis;47855;48848;96703
31.12.2019;06438;Offenbach, Landkreis;175379;180434;355813
31.12.2019;06439;Rheingau-Taunus-Kreis;92025;95135;187160
31.12.2019;06440;Wetteraukreis;152469;155870;308339
31.12.2019;06531;Gießen, Landkreis;133185;137503;270688
31.12.2019;06532;Lahn-Dill-Kreis;124903;128416;253319
31.12.2019;06533;Limburg-Weilburg, Landkreis;85419;86493;171912
31.12.2019;06534;Marburg-Biedenkopf, Landkreis;121619;125465;247084
31.12.2019;06535;Vogelsbergkreis;52861;52782;105643
31.12.2019;06611;Kassel, kreisfreie Stadt;99319;102818;202137
31.12.2019;06631;Fulda, Landkreis;110782;112363;223145
31.12.2019;06632;Hersfeld-Rotenburg, Landkreis;60512;60207;120719
31.12.2019;06633;Kassel, Landkreis;116153;120611;236764
31.12.2019;06634;Schwalm-Eder-Kreis;89941;89732;179673
31.12.2019;06635;Waldeck-Frankenberg, Landkreis;77901;78505;156406
31.12.2019;06636;Werra-Meißner-Kreis;49856;50773;100629
31.12.2019;07111;Koblenz, kreisfreie Stadt;55754;58298;114052
31.12.2019;07131;Ahrweiler, Landkreis;64033;66053;130086
31.12.2019;07132;Altenkirchen (Westerwald), Landkreis;63882;64923;128805
31.12.2019;07133;Bad Kreuznach, Landkreis;77387;80958;158345
31.12.2019;07134;Birkenfeld, Landkreis;40111;40840;80951
31.12.2019;07135;Cochem-Zell, Landkreis;30760;30615;61375
31.12.2019;07137;Mayen-Koblenz, Landkreis;105889;108545;214434
31.12.2019;07138;Neuwied, Landkreis;90104;92707;182811
31.12.2019;07140;Rhein-Hunsrück-Kreis;51379;51784;103163
31.12.2019;07141;Rhein-Lahn-Kreis;60517;61780;122297
31.12.2019;07143;Westerwaldkreis;100239;101665;201904
31.12.2019;07211;Trier, kreisfreie Stadt;55053;56475;111528
31.12.2019;07231;Bernkastel-Wittlich, Landkreis;56323;56160;112483
31.12.2019;07232;Eifelkreis Bitburg-Prüm;49869;49189;99058
31.12.2019;07233;Vulkaneifel, Landkreis;30441;30205;60646
31.12.2019;07235;Trier-Saarburg, Landkreis;73878;75520;149398
31.12.2019;07311;Frankenthal (Pfalz), kreisfreie Stadt;23703;25059;48762
31.12.2019;07312;Kaiserslautern, kreisfreie Stadt;50503;49527;100030
31.12.2019;07313;Landau in der Pfalz, kreisfreie Stadt;22274;24607;46881
31.12.2019;07314;Ludwigshafen am Rhein, kreisfreie Stadt;86486;85767;172253
31.12.2019;07315;Mainz, kreisfreie Stadt;106387;112191;218578
31.12.2019;07316;Neustadt an der Weinstraße, kreisfreie Stadt;26025;27239;53264
31.12.2019;07317;Pirmasens, kreisfreie Stadt;19685;20546;40231
31.12.2019;07318;Speyer, kreisfreie Stadt;24455;26106;50561
31.12.2019;07319;Worms, kreisfreie Stadt;41238;42304;83542
31.12.2019;07320;Zweibrücken, kreisfreie Stadt;16943;17250;34193
31.12.2019;07331;Alzey-Worms, Landkreis;64482;65205;129687
31.12.2019;07332;Bad Dürkheim, Landkreis;64871;67800;132671
31.12.2019;07333;Donnersbergkreis;37331;37994;75325
31.12.2019;07334;Germersheim, Landkreis;64277;64736;129013
31.12.2019;07335;Kaiserslautern, Landkreis;52078;53901;105979
31.12.2019;07336;Kusel, Landkreis;34874;35345;70219
31.12.2019;07337;Südliche Weinstraße, Landkreis;54419;56102;110521
31.12.2019;07338;Rhein-Pfalz-Kreis;76324;78285;154609
31.12.2019;07339;Mainz-Bingen, Landkreis;104277;107140;211417
31.12.2019;07340;Südwestpfalz, Landkreis;46753;48078;94831
31.12.2019;08111;Stuttgart, kreisfreie Stadt;317794;318117;635911
31.12.2019;08115;Böblingen, Landkreis;195497;197310;392807
31.12.2019;08116;Esslingen, Landkreis;267334;267690;535024
31.12.2019;08117;Göppingen, Landkreis;128649;129496;258145
31.12.2019;08118;Ludwigsburg, Landkreis;270799;274624;545423
31.12.2019;08119;Rems-Murr-Kreis;211395;215853;427248
31.12.2019;08121;Heilbronn, kreisfreie Stadt;63802;62790;126592
31.12.2019;08125;Heilbronn, Landkreis;172994;171462;344456
31.12.2019;08126;Hohenlohekreis;56872;55783;112655
31.12.2019;08127;Schwäbisch Hall, Landkreis;98720;98041;196761
31.12.2019;08128;Main-Tauber-Kreis;65992;66407;132399
31.12.2019;08135;Heidenheim, Landkreis;66089;66688;132777
31.12.2019;08136;Ostalbkreis;156464;157561;314025
31.12.2019;08211;Baden-Baden, kreisfreie Stadt;26522;28663;55185
31.12.2019;08212;Karlsruhe, kreisfreie Stadt;159887;152173;312060
31.12.2019;08215;Karlsruhe, Landkreis;221685;223416;445101
31.12.2019;08216;Rastatt, Landkreis;114941;116479;231420
31.12.2019;08221;Heidelberg, kreisfreie Stadt;77638;83847;161485
31.12.2019;08222;Mannheim, kreisfreie Stadt;155007;155651;310658
31.12.2019;08225;Neckar-Odenwald-Kreis;72186;71447;143633
31.12.2019;08226;Rhein-Neckar-Kreis;269715;278640;548355
31.12.2019;08231;Pforzheim, kreisfreie Stadt;61998;63959;125957
